Contest,ElectionLvl,ElectionType,Grain,Year,Address,State,County,HHL50K,HH50100K,HHRent,HHMedRent,OOMedP,DEM,AsianPacIsl,Hispanic,Female,NpaReg,SqMiles,HVMean,DemReg,RepReg,HH,F,FMeanInc,FIncL50K,FInc50100K,NFMeanInc,RegVoters,REP,WRI,OVER,UNDER,under25,btwn2544,btwn4564,over65,Shape_Length,Shape_Area
U.S. Senate,Federal,General,Precinct,2018,2515 Bayshore Blvd,FL,Hillsborough,144,93,170,25,19,828,44,88,792,343,0.19,401571,466,727,389,182,137381,42,35,67430,2282,908,3,0,14,142,387,741,274,0.256539792,0.002230015
U.S. Senate,Federal,General,Precinct,2018,2602 S Kings Ave,FL,Hillsborough,305,243,296,29,19,1755,122,662,1861,1075,0.59,168524,1369,1061,698,473,78261,171,170,46887,5341,1344,13,0,28,408,1239,1294,584,0.194111842,0.002982126
U.S. Senate,Federal,General,Precinct,2018,2629 Bayshore Blvd,FL,Hillsborough,133,95,157,23,19,1316,27,139,1206,457,0.18,422539,774,899,393,193,147181,40,39,72308,3224,1159,3,0,11,149,545,591,863,0.259066845,0.002210561
U.S. Senate,Federal,General,Precinct,2018,2707 W Waters Ave,FL,Hillsborough,320,142,251,34,20,1888,89,1130,1847,1076,0.36,161872,1629,794,551,344,73059,173,100,39063,5380,1149,13,1,28,472,1228,1172,642,0.19422498,0.00298531
U.S. Senate,Federal,General,Precinct,2018,2708 N Central Ave,FL,Hillsborough,245,97,234,36,20,973,11,235,792,398,0.31,133761,975,134,403,170,65724,95,45,39747,2313,176,7,0,16,247,632,472,164,0.194168855,0.00298373
U.S. Senate,Federal,General,Precinct,2018,2828 W Kirby St,FL,Hillsborough,324,135,257,35,21,562,34,658,705,494,0.33,156357,616,318,539,342,69046,183,97,38796,2120,441,3,1,6,170,469,511,284,0.194217919,0.002985111
U.S. Senate,Federal,General,Precinct,2018,2902 W Bearss Ave,FL,Hillsborough,267,215,213,24,18,1845,118,789,2027,1034,0.62,234901,1402,1430,679,446,107306,122,152,56444,5769,1770,8,2,27,432,1112,1565,779,0.194284919,0.002986997
U.S. Senate,Federal,General,Precinct,2018,2902 W Fletcher Ave,FL,Hillsborough,241,172,169,25,18,943,50,259,960,435,0.54,239613,701,657,593,389,105711,110,125,52750,2625,910,4,0,16,172,553,657,423,0.194263994,0.002986408
U.S. Senate,Federal,General,Precinct,2018,3015 S 75th St,FL,Hillsborough,413,291,450,32,19,697,19,537,857,523,1.77,117507,836,340,817,513,54446,257,181,39793,2541,447,4,0,4,216,527,630,330,0.194123235,0.002982446
U.S. Senate,Federal,General,Precinct,2018,302 W Kennedy Blvd,FL,Hillsborough,230,111,267,32,19,1416,80,198,935,739,0.40,233291,709,708,443,163,94394,70,39,48973,3471,930,8,0,11,249,1287,550,103,0.219714932,0.002790708
U.S. Senate,Federal,General,Precinct,2018,302 W McLendon St,FL,Hillsborough,342,172,254,31,19,745,15,296,1235,659,0.93,133695,721,907,563,402,53479,217,141,29194,3429,1301,11,0,15,255,641,862,544,0.194218077,0.002985116
U.S. Senate,Federal,General,Precinct,2018,305 N Manhattan Ave,FL,Hillsborough,170,88,138,26,20,978,59,252,912,550,0.51,343901,648,599,373,197,109217,66,45,52444,2888,746,12,0,23,182,675,659,303,0.232540065,0.00274919
U.S. Senate,Federal,General,Precinct,2018,3104 Bryan Rd,FL,Hillsborough,246,209,157,28,19,649,28,148,817,373,0.69,190617,494,707,655,500,88769,148,169,48542,2297,891,4,0,10,177,409,630,366,0.194103154,0.002981881
U.S. Senate,Federal,General,Precinct,2018,3109 W Lutz Lake Fern Rd,FL,Hillsborough,212,207,97,31,20,967,126,227,993,553,2.01,365340,554,873,769,629,132428,140,174,67339,3104,1207,6,0,17,235,648,850,261,0.187189196,0.002537075
U.S. Senate,Federal,General,Precinct,2018,3120 Clay Mangum Ln,FL,Hillsborough,246,183,172,25,18,803,36,173,826,334,0.56,238945,572,668,619,407,107817,111,132,54124,2271,845,4,1,13,144,371,620,448,0.194268741,0.002986542
U.S. Senate,Federal,General,Precinct,2018,3223 Gallagher Rd,FL,Hillsborough,211,199,130,30,21,537,17,412,1062,613,1.84,221990,627,826,531,411,76952,136,166,43995,3058,1156,3,0,13,271,558,758,490,0.194195153,0.002984471
U.S. Senate,Federal,General,Precinct,2018,3310 E Lake Ave,FL,Hillsborough,245,72,174,41,22,1478,1,95,1134,340,0.44,97349,1573,67,339,189,43947,131,44,29270,3044,70,6,1,26,309,625,679,374,0.194179163,0.002984021
U.S. Senate,Federal,General,Precinct,2018,3310 Moores Lake Rd,FL,Hillsborough,225,131,154,35,21,382,27,202,773,351,2.03,218491,429,772,443,340,74352,152,112,40337,2262,1118,4,0,7,165,353,660,385,0.194197416,0.002984534
U.S. Senate,Federal,General,Precinct,2018,3315 W Lemon St,FL,Hillsborough,204,93,190,31,20,2075,80,593,1855,936,0.25,260785,1533,1036,390,182,94276,81,41,48680,5256,1319,11,2,25,408,1355,1033,740,0.19415336,0.002983294
U.S. Senate,Federal,General,Precinct,2018,3402 Activities Lane,FL,Hillsborough,302,296,165,31,19,1213,60,416,1575,771,1.03,152253,962,1163,754,559,76108,175,240,43301,4545,1686,7,0,28,301,720,1132,761,0.19413991,0.002982916
U.S. Senate,Federal,General,Precinct,2018,3409 Cork Rd,FL,Hillsborough,251,135,177,24,15,509,19,154,1202,528,2.37,134455,551,1216,475,356,67084,166,108,37301,3431,1664,6,1,14,282,588,916,520,0.194246912,0.002985927
U.S. Senate,Federal,General,Precinct,2018,3410 Nesmith Rd,FL,Hillsborough,249,220,129,29,19,473,27,253,856,418,4.01,172700,585,639,607,476,76311,166,180,33369,2477,927,8,0,13,226,503,604,315,0.181579781,0.002402785
U.S. Senate,Federal,General,Precinct,2018,3414 Culbreath Rd,FL,Hillsborough,163,200,101,24,18,557,29,133,666,346,0.90,221385,380,553,638,539,109039,114,173,54550,1931,683,5,0,6,163,387,539,197,0.194097457,0.002981721
U.S. Senate,Federal,General,Precinct,2018,3505 W Lone Oak Rd,FL,Hillsborough,316,210,155,32,18,369,21,263,822,459,2.42,189704,479,661,729,586,77356,216,195,43245,2416,986,6,0,9,226,427,629,326,0.194161623,0.002983527
U.S. Senate,Federal,General,Precinct,2018,3511 W Bay To Bay Blvd,FL,Hillsborough,125,96,137,20,19,1713,80,167,1645,662,0.19,448291,973,1533,397,217,155885,43,46,77073,4709,1906,5,0,28,279,1033,1358,517,0.207608079,0.00250997
U.S. Senate,Federal,General,Precinct,2018,3515 McFarland Rd,FL,Hillsborough,275,180,242,29,17,1316,27,245,1346,533,0.49,231184,933,1158,627,386,99826,128,118,51718,3772,1531,4,0,22,229,629,1042,734,0.194251658,0.002986061
U.S. Senate,Federal,General,Precinct,2018,3600 W Ballast Point Blvd,FL,Hillsborough,177,131,190,25,17,1571,121,265,1629,987,0.41,275740,1127,1103,461,261,121032,74,77,80844,4836,1460,11,2,22,236,1170,1284,547,0.209462593,0.00256158
U.S. Senate,Federal,General,Precinct,2018,3616 W Gandy Blvd,FL,Hillsborough,165,125,166,24,18,806,29,80,740,311,0.26,298451,482,637,446,257,123312,68,73,79544,2136,792,5,0,15,118,451,593,277,0.201389736,0.002490835
U.S. Senate,Federal,General,Precinct,2018,3714 W Linebaugh Ave,FL,Hillsborough,313,170,271,31,18,693,46,185,800,331,0.47,206513,507,682,626,390,87913,164,109,44118,2236,888,5,0,3,154,412,565,399,0.194239211,0.002985711
U.S. Senate,Federal,General,Precinct,2018,3723 W Bay To Bay Blvd,FL,Hillsborough,123,96,134,20,18,2039,71,247,1978,733,0.20,456926,1234,1893,396,221,157698,41,47,76065,5728,2403,7,2,18,326,1192,1686,675,0.211685563,0.002568597
U.S. Senate,Federal,General,Precinct,2018,3724 N 54th St,FL,Hillsborough,294,79,195,41,21,1105,12,187,989,438,1.00,82372,1176,159,395,248,39211,178,53,28928,2767,160,8,0,24,282,612,590,293,0.194180032,0.002984045
U.S. Senate,Federal,General,Precinct,2018,3809 W Broad St,FL,Hillsborough,349,140,291,33,22,1417,142,1692,1686,1117,0.52,157461,1439,685,570,359,65320,202,95,37640,4957,927,8,1,27,427,1134,1112,579,0.194216465,0.002985071
U.S. Senate,Federal,General,Precinct,2018,3905 Orange St,FL,Hillsborough,277,220,212,25,18,1191,88,292,1228,621,0.88,132503,949,783,613,422,75930,170,155,45721,3489,1025,5,0,15,257,687,974,454,0.19418102,0.002984073
U.S. Senate,Federal,General,Precinct,2018,3910 S Manhattan Ave,FL,Hillsborough,129,99,118,19,18,655,34,136,688,393,0.22,393605,492,436,399,246,143250,52,60,78832,1992,609,4,0,24,140,474,413,310,0.223409183,0.002425519
U.S. Senate,Federal,General,Precinct,2018,3943 New River Hills Pkwy,FL,Hillsborough,156,180,95,25,19,520,39,76,869,367,2.42,273063,318,1030,675,580,123829,112,150,54702,2493,1316,4,0,13,165,386,767,405,0.194088094,0.002981457
U.S. Senate,Federal,General,Precinct,2018,400 E Harrison St,FL,Hillsborough,239,101,255,34,20,407,5,111,207,108,0.37,185104,222,98,422,162,80263,82,39,43583,764,142,0,0,9,44,151,113,121,0.211263543,0.002922556
U.S. Senate,Federal,General,Precinct,2018,401 Pauls Dr,FL,Hillsborough,406,303,518,28,17,661,17,218,710,362,0.62,129652,555,331,828,489,68461,217,180,46704,1861,386,4,0,8,133,443,439,240,0.194132392,0.002982704
U.S. Senate,Federal,General,Precinct,2018,4020 S Manhattan Ave,FL,Hillsborough,135,104,125,20,18,2497,103,407,2659,1237,0.21,368821,1727,2094,407,248,139115,55,63,81955,7517,2716,12,2,61,444,1578,1955,1109,0.225915346,0.002423394
U.S. Senate,Federal,General,Precinct,2018,408 Limona Rd,FL,Hillsborough,347,264,396,23,16,1114,33,307,1143,587,0.66,121829,856,766,718,434,72133,178,170,44559,3408,990,11,0,14,249,674,859,444,0.194147306,0.002983124
U.S. Senate,Federal,General,Precinct,2018,410 30th St SE,FL,Hillsborough,501,277,268,35,21,3091,137,1086,2931,1767,2.50,148273,2133,1757,918,601,66525,266,207,35972,10061,2723,23,0,23,698,2273,2088,653,0.193929019,0.002976977
U.S. Senate,Federal,General,Precinct,2018,410 E Chapman Rd,FL,Hillsborough,331,152,234,23,20,781,39,140,936,396,0.98,214176,612,805,618,354,93321,135,100,43277,2613,1056,9,0,19,165,423,821,412,0.194302678,0.002987497
U.S. Senate,Federal,General,Precinct,2018,4100 E Fletcher Ave,FL,Hillsborough,451,133,496,32,10,97,1,4,148,21,0.82,87516,77,113,632,284,43942,173,73,25148,308,118,0,0,7,0,1,6,204,0.194267356,0.002986503
U.S. Senate,Federal,General,Precinct,2018,4103 USF Cedar Dr,FL,Hillsborough,315,198,269,27,19,1036,41,169,498,346,0.98,156741,421,176,611,378,71639,161,131,47780,1768,280,4,0,10,835,99,18,3,0.194230053,0.002985453
U.S. Senate,Federal,General,Precinct,2018,4113 Great Golfers Pl,FL,Hillsborough,167,193,106,24,18,581,44,82,788,386,1.21,230108,335,839,669,566,111331,119,167,58726,2386,1043,4,0,7,182,380,713,291,0.194081977,0.002981285
U.S. Senate,Federal,General,Precinct,2018,4120 N MacDill Ave,FL,Hillsborough,260,93,204,35,21,989,32,862,1046,475,0.34,136797,982,482,399,217,57074,129,57,37914,2898,638,5,1,11,163,523,574,689,0.19417846,0.002984001
U.S. Senate,Federal,General,Precinct,2018,415 Woodmont Ave,FL,Hillsborough,368,174,334,32,19,1403,52,223,1312,565,0.61,137100,1062,828,629,355,65918,168,112,41007,3379,980,5,0,17,313,677,882,600,0.194235068,0.002985594
U.S. Senate,Federal,General,Precinct,2018,420 Bullard Pkwy,FL,Hillsborough,376,174,326,32,19,1068,26,234,966,460,0.64,135999,808,515,636,367,65086,181,113,41296,2679,649,8,1,7,220,504,689,384,0.194231912,0.002985505
U.S. Senate,Federal,General,Precinct,2018,4207 W Oklahoma Ave,FL,Hillsborough,193,144,219,27,17,1508,131,463,1572,962,0.58,229880,1227,821,471,254,108875,78,84,74390,4604,1000,14,1,30,393,1151,999,490,0.229264141,0.002636522
U.S. Senate,Federal,General,Precinct,2018,4240 N Frontage Rd,FL,Hillsborough,376,258,313,22,18,276,24,85,734,301,4.85,168086,343,726,711,480,73498,235,177,37789,2052,1066,9,0,10,129,311,564,371,0.166838331,0.001856147
U.S. Senate,Federal,General,Precinct,2018,4305 James L Redman Pkwy,FL,Hillsborough,355,219,215,33,18,155,6,96,433,181,4.03,177855,213,428,706,549,67662,239,190,35851,1210,613,3,1,6,103,206,327,191,0.194158271,0.002983433
U.S. Senate,Federal,General,Precinct,2018,4417 Northdale Blvd,FL,Hillsborough,260,241,218,25,19,941,43,311,932,489,0.68,236406,692,488,721,478,102616,123,166,59472,2550,640,7,0,12,193,540,580,372,0.194296648,0.002987327
U.S. Senate,Federal,General,Precinct,2018,4450 County Road 579,FL,Hillsborough,270,212,200,26,18,1044,23,438,1352,771,0.97,139709,1032,651,601,418,76488,169,150,45673,3539,784,6,0,7,353,877,794,439,0.19418714,0.002984245
U.S. Senate,Federal,General,Precinct,2018,4537 Lowell Rd,FL,Hillsborough,276,231,228,29,19,1564,103,737,1708,918,0.57,240057,1216,1046,711,452,103110,132,150,58400,4786,1413,10,0,29,345,903,1262,687,0.194264319,0.002986417
U.S. Senate,Federal,General,Precinct,2018,4702 W McCoy St,FL,Hillsborough,221,163,259,30,16,2489,191,575,2894,1847,1.10,148517,1931,1905,496,270,90986,92,99,62827,8674,2368,21,0,40,665,2413,1956,705,0.231757758,0.002426667
U.S. Senate,Federal,General,Precinct,2018,4711 N Central Ave,FL,Hillsborough,225,89,172,39,20,1287,13,299,931,428,0.21,132979,920,459,358,193,58301,110,54,39850,2786,628,7,1,12,137,627,675,377,0.194189459,0.00298431
U.S. Senate,Federal,General,Precinct,2018,4809 Alexander St N,FL,Hillsborough,375,168,115,28,17,234,13,54,596,302,7.52,123803,271,601,630,431,63288,213,139,35781,1849,914,1,0,9,106,314,536,225,0.194273985,0.002986689
U.S. Senate,Federal,General,Precinct,2018,4810 N Himes Ave,FL,Hillsborough,307,102,224,35,22,154,4,202,225,202,0.48,127842,245,103,457,274,52701,169,72,35554,802,102,0,0,4,159,144,185,64,0.194190656,0.002984344
U.S. Senate,Federal,General,Precinct,2018,4811 Ehrlich Rd,FL,Hillsborough,253,224,197,26,20,1379,68,365,1446,717,0.56,229501,954,1082,678,440,98747,119,153,53276,4026,1431,7,1,21,261,692,1046,768,0.194282414,0.002986927
U.S. Senate,Federal,General,Precinct,2018,4811 George Rd,FL,Hillsborough,232,178,272,23,19,695,26,363,668,474,1.27,170110,563,267,525,310,71008,135,98,48439,1979,319,2,0,6,205,641,336,141,0.199436567,0.002944386
U.S. Senate,Federal,General,Precinct,2018,4929 Bell Shoals Rd,FL,Hillsborough,212,233,109,28,19,1283,67,294,1583,824,1.31,220946,916,1424,783,659,104072,148,205,54250,4749,1851,13,1,17,328,837,1369,652,0.194070664,0.002980966
U.S. Senate,Federal,General,Precinct,2018,5009 Nesmith Rd,FL,Hillsborough,256,202,148,34,19,676,14,171,703,308,5.88,210571,621,389,637,565,72608,221,180,34978,2074,573,1,0,6,172,386,486,281,0.184585153,0.002538306
U.S. Senate,Federal,General,Precinct,2018,501 S Dale Mabry Hwy,FL,Hillsborough,162,91,157,26,21,1170,58,166,1142,446,0.25,355434,736,1055,382,189,121251,58,40,57314,3420,1366,4,0,16,199,676,932,443,0.210195837,0.00289234
U.S. Senate,Federal,General,Precinct,2018,501 S Kingsway Rd,FL,Hillsborough,233,249,130,25,19,1292,84,362,1461,778,1.06,164410,1046,1050,592,420,77088,134,189,44987,4305,1437,9,0,16,310,843,1212,529,0.194192242,0.002984389
U.S. Senate,Federal,General,Precinct,2018,5019 N 34th St,FL,Hillsborough,272,85,187,42,23,1732,5,167,1354,380,0.32,105410,1844,80,384,232,45144,156,57,31091,3582,96,7,0,25,356,732,748,473,0.194192492,0.002984396
U.S. Senate,Federal,General,Precinct,2018,502 Druid Hills Rd,FL,Hillsborough,357,185,371,29,17,1749,55,232,1483,625,0.63,143328,1207,975,639,344,67126,148,115,40790,4047,1258,10,1,25,355,748,948,775,0.194242458,0.002985802
U.S. Senate,Federal,General,Precinct,2018,502 E Sadie St,FL,Hillsborough,253,229,177,27,18,500,19,308,664,385,0.51,144012,452,367,592,413,73793,139,174,44329,1732,456,3,0,9,151,384,420,259,0.194144324,0.00298304
U.S. Senate,Federal,General,Precinct,2018,5030 E Busch Blvd,FL,Hillsborough,394,153,339,34,19,2115,86,631,1778,932,0.62,120939,1774,555,614,345,58015,189,98,35340,5077,645,12,0,35,635,1080,996,567,0.194232023,0.002985508
U.S. Senate,Federal,General,Precinct,2018,5101 N Rome Ave,FL,Hillsborough,244,104,182,36,20,1102,20,494,1015,423,0.23,141692,968,476,399,225,61518,125,66,43240,2785,676,4,0,19,163,551,663,498,0.194191166,0.002984359
U.S. Senate,Federal,General,Precinct,2018,5101 Van Dyke Rd,FL,Hillsborough,266,213,309,23,19,1026,135,245,1167,596,1.32,318027,571,1073,703,434,116385,104,134,62225,3525,1488,9,1,16,249,548,964,500,0.19432421,0.002988103
U.S. Senate,Federal,General,Precinct,2018,5103 N Central Ave,FL,Hillsborough,234,92,177,39,21,1497,22,247,984,487,0.21,132818,1016,410,369,208,56843,120,59,39606,3003,530,6,1,20,177,805,671,277,0.194193636,0.002984428
U.S. Senate,Federal,General,Precinct,2018,5107 W Lutz Lake Fern Rd,FL,Hillsborough,246,225,263,26,20,993,58,221,1201,577,2.08,395514,623,1157,800,573,144846,109,163,62509,3643,1622,6,0,16,255,541,1135,440,0.187418528,0.002545824
U.S. Senate,Federal,General,Precinct,2018,5201 N Armenia Ave,FL,Hillsborough,268,111,195,36,21,946,53,838,972,594,0.27,139781,928,343,436,255,63456,143,73,43071,2919,419,9,2,14,247,647,584,395,0.194194601,0.002984455
U.S. Senate,Federal,General,Precinct,2018,5212 Interbay Blvd,FL,Hillsborough,170,135,186,23,19,781,29,81,798,356,0.49,315780,489,618,478,284,129149,75,84,81217,2248,842,6,0,15,93,477,535,364,0.019889281,1.79286E-05
U.S. Senate,Federal,General,Precinct,2018,5309 US HWY 41 N,FL,Hillsborough,536,490,372,31,21,1492,78,318,1890,1052,4.58,219060,1090,1580,1418,1088,86233,346,397,53327,6092,2360,12,0,19,328,1092,1615,724,0.195527091,0.0029383
U.S. Senate,Federal,General,Precinct,2018,5315 Van Dyke Rd,FL,Hillsborough,237,199,277,22,19,1134,68,346,1143,612,1.39,329924,786,898,670,428,124203,92,129,62589,3533,1171,7,0,8,247,651,923,484,0.194324209,0.002988103
U.S. Senate,Federal,General,Precinct,2018,5395 Ehrlich Rd,FL,Hillsborough,272,220,208,26,21,1398,58,516,1410,709,0.62,223506,989,1030,694,476,94718,152,157,50521,4043,1297,9,0,25,250,695,1178,627,0.19427904,0.002986832
U.S. Senate,Federal,General,Precinct,2018,5415 Palm River Rd,FL,Hillsborough,264,78,198,36,18,666,13,314,692,362,2.12,86384,734,208,364,227,39412,158,54,29693,1900,272,3,0,9,156,435,457,260,0.194145739,0.00298308
U.S. Senate,Federal,General,Precinct,2018,5500 E Sligh Ave,FL,Hillsborough,411,146,313,37,22,658,6,94,525,172,0.76,107726,657,74,605,356,51059,222,94,33731,1390,81,2,0,13,116,328,305,156,0.194210894,0.002984914
U.S. Senate,Federal,General,Precinct,2018,5500 Memorial Hwy,FL,Hillsborough,243,197,316,21,18,1205,82,961,1391,911,1.13,193434,1115,779,585,319,80938,127,100,53343,4247,1034,7,1,24,342,934,957,581,0.206733071,0.002467048
U.S. Senate,Federal,General,Precinct,2018,5601 Hanley Rd,FL,Hillsborough,266,189,232,25,20,1961,156,1350,1959,1206,0.83,164103,1571,972,561,350,74159,156,118,53406,5797,1287,8,0,19,359,1180,1403,822,0.194647517,0.002984478
U.S. Senate,Federal,General,Precinct,2018,5609 N Albany Ave,FL,Hillsborough,265,111,202,36,20,848,22,622,875,448,0.26,141842,786,412,433,252,64344,138,74,43335,2511,492,5,0,14,180,488,619,376,0.194198525,0.002984566
U.S. Senate,Federal,General,Precinct,2018,5705 Hillsborough St,FL,Hillsborough,480,228,367,35,15,1872,70,1017,1925,1214,5.37,132735,1254,1176,801,610,52213,361,170,32875,6389,2053,10,0,28,468,841,1131,1234,0.193922506,0.002976794
U.S. Senate,Federal,General,Precinct,2018,5706 N 40th St,FL,Hillsborough,333,103,236,42,23,1696,19,246,1424,468,0.47,101716,1860,143,465,286,44277,193,70,29360,3716,163,13,0,25,379,873,731,491,0.194199255,0.002984586
U.S. Senate,Federal,General,Precinct,2018,5708 Lithia Pinecrest Rd,FL,Hillsborough,273,270,214,28,19,363,17,43,548,217,5.23,316819,243,616,1175,993,131810,171,239,52238,1639,812,0,0,7,126,214,553,189,0.194065828,0.00298083
U.S. Senate,Federal,General,Precinct,2018,5800 N Central Ave,FL,Hillsborough,257,97,196,39,21,1197,15,152,832,406,0.24,128716,802,375,396,230,55664,137,65,37944,2383,527,5,0,15,106,639,625,237,0.194200399,0.002984618
U.S. Senate,Federal,General,Precinct,2018,5902 N Himes Ave,FL,Hillsborough,312,106,232,35,23,919,39,1331,1170,718,0.49,130679,991,643,467,302,54610,187,79,35424,3492,764,5,0,18,268,589,779,726,0.194201336,0.002984645
U.S. Senate,Federal,General,Precinct,2018,601 E Kennedy Blvd,FL,Hillsborough,240,106,272,33,20,348,35,104,556,385,0.46,200104,332,535,436,159,84980,77,38,44939,2071,300,1,0,5,75,470,588,124,0.214338329,0.002889898
U.S. Senate,Federal,General,Precinct,2018,601 N Gordon St,FL,Hillsborough,338,174,245,30,20,293,9,131,465,262,1.15,129216,288,324,556,391,53662,212,139,29414,1256,403,5,0,7,110,316,286,170,0.194218773,0.002985136
U.S. Senate,Federal,General,Precinct,2018,6015 W Farkas Rd,FL,Hillsborough,377,176,178,37,18,236,8,80,547,269,4.40,167816,320,466,721,582,65110,271,175,36606,1562,674,5,1,2,115,257,435,251,0.194144958,0.002983058
U.S. Senate,Federal,General,Precinct,2018,602 Charlie Griffin Rd,FL,Hillsborough,363,205,263,33,20,460,16,130,744,325,1.69,182377,448,578,685,511,65570,238,167,39153,1987,798,6,0,6,146,434,485,300,0.194182793,0.002984123
U.S. Senate,Federal,General,Precinct,2018,604 N Valrico Rd,FL,Hillsborough,252,250,145,27,19,485,44,189,588,320,0.62,155622,394,392,638,474,76179,144,205,43474,1698,538,2,0,2,103,324,485,198,0.19415047,0.002983213
U.S. Senate,Federal,General,Precinct,2018,6100 Memorial Hwy,FL,Hillsborough,265,207,292,24,19,1129,50,331,1112,664,0.76,196015,788,793,610,350,84417,143,117,55841,3358,1067,9,1,24,216,764,877,408,0.204781267,0.002573194
U.S. Senate,Federal,General,Precinct,2018,6161 E Fowler Ave,FL,Hillsborough,341,186,389,27,14,940,53,119,789,396,0.90,188171,645,462,635,331,66229,129,111,39233,2129,591,5,0,12,215,442,471,389,0.194252933,0.002986097
U.S. Senate,Federal,General,Precinct,2018,6202 S MacDill Ave,FL,Hillsborough,197,149,233,27,17,805,40,109,792,382,1.24,225284,495,639,489,300,109438,99,95,67714,2336,812,4,0,13,121,512,643,257,0.18813796,0.002108712
U.S. Senate,Federal,General,Precinct,2018,6219 Symmes Rd,FL,Hillsborough,557,381,422,38,17,1788,61,643,1555,1021,4.11,151681,1299,639,1087,813,56817,372,307,34279,5010,824,14,5,12,414,1368,956,241,0.229299668,0.002532267
U.S. Senate,Federal,General,Precinct,2018,6304 N 30th St,FL,Hillsborough,301,103,221,41,22,1757,10,200,1347,440,0.32,112447,1791,180,437,263,47741,169,70,32356,3530,214,12,2,31,294,763,802,566,0.194204725,0.00298474
U.S. Senate,Federal,General,Precinct,2018,6400 N 15th St,FL,Hillsborough,275,103,211,40,21,639,15,137,500,274,0.27,124326,499,190,416,243,52349,148,70,35682,1453,251,1,0,4,87,367,372,147,0.194205958,0.002984775
U.S. Senate,Federal,General,Precinct,2018,6414 Golf And Sea Blvd,FL,Hillsborough,424,386,256,28,20,955,17,172,1200,611,3.94,220326,656,991,1149,837,91535,251,288,48552,3646,1485,8,1,15,123,400,768,982,0.196555164,0.002976377
U.S. Senate,Federal,General,Precinct,2018,6420 Lithia Pinecrest Rd,FL,Hillsborough,257,227,179,31,18,88,1,24,251,118,11.09,275067,94,260,933,777,113750,167,196,46483,742,383,3,0,1,64,111,212,87,0.194056711,0.002980573
U.S. Senate,Federal,General,Precinct,2018,6460 Tampa Palms Blvd,FL,Hillsborough,317,206,491,24,17,1109,65,220,1027,590,2.18,692800,742,659,698,355,113417,109,107,44845,3000,764,7,0,18,375,738,647,251,0.194292253,0.002987203
U.S. Senate,Federal,General,Precinct,2018,6605 Krycul Ave,FL,Hillsborough,492,547,568,28,19,1708,86,504,1748,977,1.17,180272,1291,970,1307,874,78324,308,355,56146,5220,1243,6,0,26,426,1230,1168,446,0.194089182,0.002981488
U.S. Senate,Federal,General,Precinct,2018,664 Golf And Sea Blvd,FL,Hillsborough,434,409,251,27,21,861,64,134,1392,694,3.56,255244,576,1589,1259,921,102197,240,315,52426,4422,2215,10,0,13,197,526,1378,778,0.201339802,0.002710505
U.S. Senate,Federal,General,Precinct,2018,6720 C R 579 N,FL,Hillsborough,237,128,125,37,21,838,53,142,875,536,3.08,189818,741,422,445,337,73583,156,105,33254,2544,629,7,1,11,203,465,696,350,0.194229502,0.002985437
U.S. Senate,Federal,General,Precinct,2018,6819 Krycul Ave,FL,Hillsborough,467,511,505,29,19,2754,156,812,2543,1523,1.21,179696,1973,1195,1237,842,79028,290,342,54176,7463,1479,17,0,23,581,2075,1594,476,0.194086554,0.002981414
U.S. Senate,Federal,General,Precinct,2018,6830 N Habana Ave,FL,Hillsborough,321,123,256,35,21,840,15,579,846,456,0.30,144623,829,379,508,311,63488,177,87,38249,2522,515,5,2,15,202,547,562,360,0.194209844,0.002984884
U.S. Senate,Federal,General,Precinct,2018,6918 N Florida Ave,FL,Hillsborough,290,110,226,38,21,996,12,355,797,425,0.26,128830,799,282,443,260,55321,156,73,37161,2392,381,5,0,12,188,579,515,242,0.19421241,0.002984956
U.S. Senate,Federal,General,Precinct,2018,7001 12th Ave S,FL,Hillsborough,312,153,294,33,18,813,18,541,899,492,2.10,93969,998,288,520,326,44891,191,99,33369,2624,363,5,1,11,266,595,614,312,0.194140057,0.00298292
U.S. Senate,Federal,General,Precinct,2018,7002 W Hanna Ave,FL,Hillsborough,274,175,212,25,20,920,50,1099,1063,703,0.88,140775,931,485,531,341,65644,164,115,48670,3206,623,1,1,14,249,634,773,470,0.194204379,0.00298473
U.S. Senate,Federal,General,Precinct,2018,701 Channelside Dr,FL,Hillsborough,249,109,289,33,19,1231,76,172,1068,638,0.62,196181,551,963,450,163,84593,77,39,44772,3579,1259,5,1,18,174,859,830,305,0.211886615,0.002911172
U.S. Senate,Federal,General,Precinct,2018,702 Del Webb Blvd W,FL,Hillsborough,476,243,179,32,19,1658,41,248,1781,814,1.56,147000,1018,1361,827,435,69256,172,169,36496,5225,2027,9,0,18,164,576,739,1740,0.193926397,0.002976904
U.S. Senate,Federal,General,Precinct,2018,7051 Turkey Creek Rd,FL,Hillsborough,269,134,103,27,17,486,25,80,658,333,7.32,209828,314,637,607,511,80023,202,110,37007,2018,863,4,0,5,158,337,584,211,0.194111001,0.002982102
U.S. Senate,Federal,General,Precinct,2018,709 W Linebaugh Ave,FL,Hillsborough,319,111,254,35,21,640,25,350,707,391,0.30,131412,617,351,485,284,60975,161,78,33343,2111,481,3,1,11,155,383,500,334,0.194239145,0.002985709
