Contest,ElectionLvl,ElectionType,Grain,Year,Address,State,County,HHL50K,HH50100K,HHRent,HHMedRent,OOMedP,DEM,AsianPacIsl,Hispanic,Female,NpaReg,SqMiles,HVMean,DemReg,RepReg,HH,F,FMeanInc,FIncL50K,FInc50100K,NFMeanInc,RegVoters,REP,WRI,OVER,UNDER,under25,btwn2544,btwn4564,over65,Shape_Length,Shape_Area
U.S. Senate,Federal,General,Precinct,2018,11020 Park Dr,FL,Hillsborough,425,399,297,32,19,1075,54,286,1313,708,1.29,172940,833,1048,1089,794,80058,258,305,49102,4001,1338,13,0,8,298,768,1080,462,0.194070534,0.002980963
U.S. Senate,Federal,General,Precinct,2018,1104 N Kingsway Rd,FL,Hillsborough,236,198,121,29,20,405,16,160,542,294,2.05,200173,410,311,552,399,82190,136,153,36725,1558,421,2,0,9,143,307,408,164,0.194209818,0.002984883
U.S. Senate,Federal,General,Precinct,2018,1107 Charlie Griffin Rd,FL,Hillsborough,354,207,246,31,20,687,28,176,1096,494,1.66,188819,492,1069,702,535,68536,234,175,39188,3073,1359,3,0,7,238,537,789,507,0.194182715,0.002984121
U.S. Senate,Federal,General,Precinct,2018,111 Alafia Church Rd,FL,Hillsborough,237,224,140,23,13,67,2,10,121,71,68.65,188842,49,118,564,360,85891,144,126,43910,378,194,0,0,2,22,56,92,73,0.193952683,0.002977644
U.S. Senate,Federal,General,Precinct,2018,11211 Countryway Blvd,FL,Hillsborough,238,353,404,21,17,1018,68,162,972,547,1.46,307925,529,873,1208,879,136713,114,242,73277,3047,1146,4,0,12,191,568,904,302,0.190396379,0.002793205
U.S. Senate,Federal,General,Precinct,2018,11211 Sheldon Rd,FL,Hillsborough,366,253,361,29,21,434,23,255,534,307,0.83,180671,393,219,865,554,81736,183,163,50623,1479,337,3,2,8,110,289,294,233,0.194251493,0.002986056
U.S. Senate,Federal,General,Precinct,2018,11349 Bloomingdale Ave,FL,Hillsborough,420,389,456,28,19,628,28,169,779,387,0.78,173160,577,560,1033,687,78680,249,256,50692,2218,698,4,0,4,147,443,607,333,0.194098329,0.002981745
U.S. Senate,Federal,General,Precinct,2018,11380 Brookgreen Dr,FL,Hillsborough,322,228,289,30,20,1269,81,856,1245,752,0.61,213798,1003,548,711,440,89450,167,143,47440,3483,615,6,0,26,250,816,842,402,0.194248519,0.002985973
U.S. Senate,Federal,General,Precinct,2018,11400 Morris Bridge Rd,FL,Hillsborough,318,242,346,26,18,917,83,259,804,507,1.31,233905,698,342,699,418,78021,150,151,47779,2351,411,6,0,9,271,624,481,181,0.194249153,0.002985991
U.S. Senate,Federal,General,Precinct,2018,11450 Faith Cir,FL,Hillsborough,360,247,306,30,21,1535,66,1025,1478,904,0.72,167347,1140,793,750,488,72434,204,165,43594,4498,1036,12,0,28,316,972,1094,471,0.194253555,0.002986114
U.S. Senate,Federal,General,Precinct,2018,11525 Big Bend Rd,FL,Hillsborough,542,1004,548,29,19,2271,117,610,1719,980,4.29,178151,1370,887,2292,1841,88620,404,780,61104,5697,1388,13,2,12,380,1379,1189,323,0.194001571,0.002979021
U.S. Senate,Federal,General,Precinct,2018,11560 Ramble Creek Dr,FL,Hillsborough,571,683,388,31,21,2587,150,836,2523,1441,2.09,154291,1882,1418,1632,1256,73384,378,549,49188,8082,2089,17,1,30,535,1714,1615,908,0.194041051,0.002980132
U.S. Senate,Federal,General,Precinct,2018,11706 Williams Rd,FL,Hillsborough,345,205,328,31,19,878,18,148,1009,506,2.32,216188,866,516,660,409,65294,179,137,37613,2653,686,14,0,11,176,560,756,423,0.194254529,0.002986142
U.S. Senate,Federal,General,Precinct,2018,11717 Clay Pit Rd,FL,Hillsborough,271,207,191,27,18,767,33,304,1033,614,1.07,144026,773,546,596,418,76401,171,147,44775,2848,797,3,1,6,263,643,698,338,0.194189717,0.002984318
U.S. Senate,Federal,General,Precinct,2018,1200 E Lake Ave,FL,Hillsborough,225,89,190,38,20,1008,11,410,860,397,0.27,128637,1089,168,359,172,58994,101,46,38179,2456,191,4,2,22,212,548,565,335,0.194179193,0.002984022
U.S. Senate,Federal,General,Precinct,2018,1201 Skipper Rd,FL,Hillsborough,418,118,360,28,16,1059,24,779,1192,849,0.45,104313,1148,226,593,303,56582,182,73,32935,3424,251,3,0,11,526,864,655,193,0.194278214,0.002986808
U.S. Senate,Federal,General,Precinct,2018,12012 N Rome Ave,FL,Hillsborough,293,134,218,29,19,400,12,64,388,158,0.41,181344,295,260,544,339,80428,144,96,42290,1071,355,5,0,6,51,192,270,201,0.194255188,0.00298616
U.S. Senate,Federal,General,Precinct,2018,1207 N Jefferson St,FL,Hillsborough,238,98,251,35,20,586,22,128,588,548,0.38,167920,442,320,412,161,75645,85,39,42389,1969,289,1,0,11,785,234,85,214,0.208210128,0.002945947
U.S. Senate,Federal,General,Precinct,2018,1221 Victoria St,FL,Hillsborough,329,252,346,24,17,1210,59,632,1427,890,0.60,125903,1166,489,684,423,72684,170,166,44083,3670,536,9,0,15,467,1144,747,201,0.194147693,0.002983135
U.S. Senate,Federal,General,Precinct,2018,1239 Del Webb Blvd,FL,Hillsborough,478,256,209,33,18,339,6,24,388,153,1.86,150543,203,330,853,468,69437,187,178,38260,1059,490,1,0,13,3,14,136,540,0.193931422,0.002977045
U.S. Senate,Federal,General,Precinct,2018,12401 N 22nd St,FL,Hillsborough,403,99,370,34,17,134,3,5,149,26,0.49,69334,99,95,522,265,37676,188,60,25886,346,108,0,0,1,0,0,2,218,0.194259583,0.002986284
U.S. Senate,Federal,General,Precinct,2018,12404 Boyette Rd,FL,Hillsborough,313,319,136,30,19,1345,87,428,1646,912,1.42,191292,1083,1272,959,756,91247,198,270,53647,5046,1554,13,1,23,456,923,1419,487,0.194060042,0.002980667
U.S. Senate,Federal,General,Precinct,2018,12708 N Dale Mabry Hwy,FL,Hillsborough,262,209,224,28,18,793,22,190,899,374,0.58,258789,566,761,678,431,110717,118,141,58148,2367,939,4,0,14,158,352,677,520,0.194261497,0.002986338
U.S. Senate,Federal,General,Precinct,2018,12735 Knights Griffin Rd,FL,Hillsborough,291,203,145,27,16,158,5,20,362,162,11.23,258509,199,307,605,389,91935,122,172,38733,990,444,3,0,8,67,150,286,168,0.194274196,0.002986695
U.S. Senate,Federal,General,Precinct,2018,12951 W Linebaugh Ave,FL,Hillsborough,220,367,407,21,17,341,13,69,437,184,1.45,295126,236,354,1190,885,132956,113,268,74100,1137,443,1,0,5,60,178,230,312,0.166816391,0.001851679
U.S. Senate,Federal,General,Precinct,2018,1301 S 78th St,FL,Hillsborough,370,264,485,30,19,624,14,499,731,466,1.79,103230,717,207,748,443,51985,216,160,37695,2041,246,0,0,6,171,482,478,260,0.194139646,0.002982908
U.S. Senate,Federal,General,Precinct,2018,13011 Summerfield Blvd,FL,Hillsborough,600,1080,618,28,20,3487,171,1082,3118,1812,3.91,172971,2344,1758,2444,1953,87885,447,835,64118,9886,2402,33,0,19,696,2351,2190,728,0.194007152,0.002979178
U.S. Senate,Federal,General,Precinct,2018,1310 John Moore Rd,FL,Hillsborough,292,217,253,31,18,659,43,210,847,369,0.55,157998,558,703,646,438,76887,157,155,44466,2424,905,4,0,13,159,423,652,407,0.194123503,0.002982454
U.S. Senate,Federal,General,Precinct,2018,1310 S Kingsway Rd,FL,Hillsborough,228,261,129,23,19,1441,102,303,1513,747,0.87,162677,1108,1146,615,444,80291,130,202,46457,4618,1609,10,2,19,319,846,1309,545,0.194185889,0.00298421
U.S. Senate,Federal,General,Precinct,2018,13101 USF Sycamore Dr,FL,Hillsborough,382,147,437,30,11,1017,62,212,801,519,0.87,138767,783,219,608,285,53438,137,83,31344,2141,218,7,1,14,412,713,316,100,0.19426138,0.002986335
U.S. Senate,Federal,General,Precinct,2018,13115 S Village Dr,FL,Hillsborough,275,226,231,30,18,321,4,50,339,108,0.60,255374,192,310,715,455,108699,127,149,59612,912,393,1,1,3,41,99,222,254,0.194263422,0.002986392
U.S. Senate,Federal,General,Precinct,2018,13228 N Central Ave,FL,Hillsborough,359,106,291,30,19,177,12,175,286,192,0.35,110178,306,119,521,297,56991,178,71,32565,873,125,0,0,5,71,188,250,115,0.194265187,0.002986442
U.S. Senate,Federal,General,Precinct,2018,13312 Cain Rd,FL,Hillsborough,335,253,290,30,21,1568,162,593,1579,872,0.73,200215,1053,1147,767,519,83526,196,174,46783,4742,1420,12,0,18,328,911,1378,480,0.194265003,0.002986437
U.S. Senate,Federal,General,Precinct,2018,13498 S US 301,FL,Hillsborough,598,999,612,29,21,1858,80,601,1310,790,5.10,179743,1106,661,2294,1810,86336,440,764,65202,4641,1005,12,3,16,313,1166,882,221,0.193999735,0.002978969
U.S. Senate,Federal,General,Precinct,2018,13515 N US Highway 301,FL,Hillsborough,278,190,144,22,16,436,36,71,686,308,12.66,211008,378,625,570,365,90458,115,160,27845,2039,983,1,1,6,128,268,577,341,0.194291076,0.00298717
U.S. Senate,Federal,General,Precinct,2018,14013 N 22nd St,FL,Hillsborough,458,116,425,31,15,3193,132,1233,3063,1888,0.62,74894,3172,619,613,295,41199,197,66,27655,8491,629,15,1,46,1697,2302,1297,422,0.194273117,0.002986665
U.S. Senate,Federal,General,Precinct,2018,14301 Nine Eagles Dr,FL,Hillsborough,212,388,357,21,17,1927,309,337,2203,1290,1.96,319700,1087,1975,1295,993,141841,120,287,76912,6760,2812,12,1,20,410,1254,2060,659,0.182543195,0.002452455
U.S. Senate,Federal,General,Precinct,2018,14514 Del Valle Rd,FL,Hillsborough,305,233,255,25,21,1307,61,314,1255,669,0.92,237204,821,1031,769,540,95655,179,170,52344,3834,1365,8,0,21,279,685,1128,450,0.194277672,0.002986793
U.S. Senate,Federal,General,Precinct,2018,14720 Ed Radice Dr,FL,Hillsborough,243,312,337,19,18,484,23,116,571,296,1.85,316820,320,489,1066,761,134646,128,212,64204,1650,686,4,0,5,96,278,558,182,0.194279818,0.002986853
U.S. Senate,Federal,General,Precinct,2018,14735 Lake Forest Dr,FL,Hillsborough,412,124,438,29,11,1382,83,307,1128,640,0.99,113302,983,506,603,266,53783,149,66,28823,3353,541,13,1,14,535,764,571,277,0.194281965,0.002986914
