GEOID,Type,Year,State,Cnty,CensusLvl,HH,HHAggInc,HHMeanInc,HHL50K,HH50100K,HHM100K,F,FAggInc,FMeanInc,FIncL50K,FInc50100K,FIncM100K,NF,NFAggInc,NFMeanInc,NFIncL50K,NFInc50100K,NFIncM100K,WHHAggInc,BHHAggInc,HSHHAggInc,HHAggEarn,HHAggNotEarn,HHRent,HHMedRent,OO,OOMedP,HVAgg,HVMean,NAMELSAD,ALAND,AWATER,INTPTLAT,INTPTLON,OBJECTID
120570139071,ACS,2016,Florida,Hillsborough County,Block Group,405,34157500,84340,110,174,121,316,29712300,94026,56,156,104,89,4305500,48376,54,18,17,30072200,0,6705000,27615100,10316600,50,19.1,355,16.6,68799000,193800,Block Group 1,56846988,334555,27.7196924,-82.2628002,3961
120570139072,ACS,2016,Florida,Hillsborough County,Block Group,319,16810100,52696,183,95,41,226,14354900,63517,96,95,35,93,2128800,22890,87,0,6,16672300,0,1566300,10705900,6534600,60,33.2,259,16.3,47222000,182324,Block Group 2,128524428,925223,27.6931956,-82.2014573,3962
120570139081,ACS,2016,Florida,Hillsborough County,Block Group,471,10302800,21874,441,30,0,162,5281300,32601,132,30,0,309,5021600,16251,309,0,0,9328700,0,0,4420800,4111900,117,45.9,354,34.7,16562800,46788,Block Group 1,798140,6116,27.8521178,-82.3240348,3999
120570139082,ACS,2016,Florida,Hillsborough County,Block Group,2875,204996600,71303,1036,1260,579,2204,166368700,75485,687,1028,489,671,36653100,54625,390,197,84,154148900,31603100,41971100,165891400,41564200,674,26.7,2201,20.9,317183800,144109,Block Group 2,6046162,314493,27.8324314,-82.3150064,4000
120570139121,ACS,2016,Florida,Hillsborough County,Block Group,530,27624300,52121,275,180,75,404,24391100,60374,176,153,75,126,3087500,24504,106,20,0,21261800,0,8206900,23406000,6510400,140,34.7,390,17.7,40326800,103402,Block Group 1,3441796,52006,27.8125207,-82.2840645,4001
120570139122,ACS,2016,Florida,Hillsborough County,Block Group,441,40232800,91231,126,151,164,373,37241100,99842,84,125,164,68,2892200,42532,42,26,0,27826400,3057600,8815700,33441900,7105500,63,32.8,378,20.1,87261600,230851,Block Group 2,21423386,339621,27.7915326,-82.2566597,4002
120570139131,ACS,2016,Florida,Hillsborough County,Block Group,1414,109740100,77610,493,541,380,1061,88674600,83576,313,445,303,353,20471000,57992,180,105,68,90786200,13470800,17388700,68189500,42105200,98,45,1316,19.8,303210000,230403,Block Group 1,31063812,267458,27.7401296,-82.309122,3963
120570139132,ACS,2016,Florida,Hillsborough County,Block Group,881,33582200,38118,665,160,56,686,27486700,40068,526,104,56,195,5029700,25793,155,40,0,18137100,1690100,30112700,29139000,5354400,636,38.3,245,12.4,24420000,99673,Block Group 2,4574700,12264,27.7241062,-82.3103253,3964
120570139141,ACS,2016,Florida,Hillsborough County,Block Group,476,25196700,52934,296,150,30,395,22067400,55867,224,150,21,81,2878900,35542,72,0,9,17843100,0,16701800,22756200,3844100,107,37,369,17.3,51529400,139646,Block Group 1,23595339,72607,27.6657482,-82.3323854,3965
120570139142,ACS,2016,Florida,Hillsborough County,Block Group,539,25667000,47620,301,210,28,394,19269500,48907,221,154,19,145,4303700,29681,117,28,0,21775400,0,12135700,21365400,5526000,186,29,353,16.5,45094000,127745,Block Group 2,11151732,519149,27.6972819,-82.3274239,3966
120570139151,ACS,2016,Florida,Hillsborough County,Block Group,2314,197816100,85487,620,990,704,1901,174081800,91574,440,812,649,413,22043900,53375,214,153,46,150621300,31063300,28613500,177295300,22842800,485,30.3,1829,19.9,316337400,172956,Block Group 1,7673212,280857,27.8080551,-82.3275798,4003
120570139161,ACS,2016,Florida,Hillsborough County,Block Group,3268,290071200,88761,765,1359,1144,2521,230444300,91410,556,972,993,747,53520700,71648,286,340,121,181154100,73675300,43780000,261421600,31445100,971,24.3,2297,19.1,393536900,171326,Block Group 1,15208886,215483,27.7831366,-82.3047781,3994
120570139171,ACS,2016,Florida,Hillsborough County,Block Group,2406,224535300,93323,418,1182,806,2053,193928500,94461,364,977,712,353,24109600,68299,122,191,40,160448500,33052200,48817900,190604000,38829100,430,28.3,1976,19,388017700,196365,Block Group 1,4233942,238628,27.801761,-82.307086,4004
120570139181,ACS,2016,Florida,Hillsborough County,Block Group,429,34831300,81192,174,128,127,325,32173000,98994,79,128,118,104,2515200,24185,95,0,9,30169000,1501400,1438100,28671500,7429700,68,50,361,18.2,80756500,223702,Block Group 1,6728818,758225,27.8284657,-82.2755589,4005
120570139182,ACS,2016,Florida,Hillsborough County,Block Group,218,13317700,61090,104,61,53,199,11828400,59439,95,80,24,19,0,0,15,0,4,10030700,0,3916000,11618900,1760700,67,43,151,17.3,26703500,176844,Block Group 2,971769,44,27.8303781,-82.2955204,3967
120570139191,ACS,2016,Florida,Hillsborough County,Block Group,437,30906600,70724,166,173,98,331,24347000,73556,134,114,83,106,4930800,46517,76,15,15,30906600,0,0,19321300,11005800,31,0,406,16.3,62729400,154506,Block Group 1,4073022,98506,27.8429615,-82.3015878,3977
120570139192,ACS,2016,Florida,Hillsborough County,Block Group,700,62880600,89829,245,223,232,568,55829400,98291,154,192,222,132,7051300,53419,91,31,10,55482500,5710900,14590000,51736700,10974100,92,51,608,19.6,132708400,218270,Block Group 2,2928647,94400,27.8477426,-82.2867419,3968
120570139193,ACS,2016,Florida,Hillsborough County,Block Group,1038,79529900,76618,249,557,232,962,71324000,74141,267,488,207,76,4493300,59122,34,17,25,55009100,11412000,15845300,67078000,13053300,214,28.9,824,23.9,145547500,176635,Block Group 3,2263982,65478,27.8445585,-82.2679702,3969
120570139201,ACS,2016,Florida,Hillsborough County,Block Group,536,52478500,97908,173,158,205,385,46197700,119994,83,97,205,151,4710600,31196,133,18,0,47934700,0,0,47176500,5444000,89,40.3,447,14.9,107357500,240173,Block Group 1,78344368,1760269,27.7883525,-82.177457,3970
